bee,colony,queen,group,PreExposure,framesOnNest,framesOffNest,AtoI_Unbumped_OnNest,ItoA_Unbumped_OnNest,AtoI_Bumped_OnNest,ItoA_Bumped_OnNest,AtoI_Unbumped_OffNest,ItoA_Unbumped_OffNest,AtoI_Bumped_OffNest,ItoA_Bumped_OffNest
4431,1,1,0,0,5426,1074,0.10475100171723,0.0723817226041246,0.0641447368421053,0.0770547945205479,0.219298245614035,0.096045197740113,0.170068027210884,0.142857142857143
4857,1,0,2,0,904,4101,0.00267379679144386,0.5,0,1,0.0737463126843658,0.0290720828355237,0.093167701863354,0.0480225988700565
4799,1,0,3,0,470,1900,0.0779220779220779,0.185185185185185,0,NaN,0.0634328358208955,0.0257234726688103,0.0506329113924051,0.25
4822,1,0,1,0,1,12,NaN,NaN,NaN,NaN,NaN,0,NaN,0
4729,1,0,1,0,1509,3306,0.0142671854734111,0.0325443786982249,0.00757575757575757,0.0235294117647059,0.0635071090047393,0.0356359649122807,0.0795454545454546,0.0755555555555556
4850,1,0,3,0,1528,3254,0.0245098039215687,0.128865979381443,0.0201612903225806,0.375,0.0461538461538461,0.0329479768786127,0.0514285714285714,0.0526315789473684
4106,1,0,2,0,2203,65,0.0154277699859747,0.18018018018018,0.0129151291512916,0.28125,0,0.2,0.0588235294117647,NaN
4196,1,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4828,1,0,2,0,3015,220,0.00599354541263253,0.3,0.00437317784256563,0.428571428571429,0.00645161290322582,1,0.0185185185185185,1
4860,1,0,3,0,2133,2151,0.039622641509434,0.504,0.0055401662049861,0.25,0.0286054827175208,0.384615384615385,0.0212765957446809,0.25
4235,1,0,1,0,3338,148,0.0149812734082397,0.336633663366337,0.00283286118980175,0.0655737704918033,0,NaN,0,NaN
4559,1,0,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
